Location,Age,policies_violated,city
Downtown,Youth,RudeService,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Downtown,Youth,Filthy,Atlanta
Downtown,Middle  age,RudeService,Atlanta
Uptown,Youth,SlowService,Atlanta
Uptown,Youth,OrderProblem,Atlanta
Uptown,Youth,RudeService,Atlanta
Downtown,Youth,BadFood,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,ScaryMcDs,Atlanta
Uptown,Old age,RudeService,Atlanta
Uptown,Old age,SlowService,Atlanta
Uptown,Old age,RudeService,Atlanta
Uptown,Old age,MissingFood,Atlanta
Downtown,Old age,SlowService,Atlanta
Uptown,Old age,RudeService,Atlanta
Downtown,Old age,RudeService,Atlanta
Uptown,Middle  age,SlowService,Atlanta
Downtown,Middle  age,BadFood,Atlanta
Downtown,Middle  age,RudeService,Atlanta
Downtown,Middle  age,SlowService,Atlanta
Downtown,Middle  age,SlowService,Atlanta
Downtown,Middle  age,ScaryMcDs,Atlanta
Uptown,Middle  age,SlowService,Atlanta
Uptown,Middle  age,MissingFood,Atlanta
Uptown,Middle  age,BadFood,Atlanta
Uptown,Middle  age,SlowService,Atlanta
Downtown,Middle  age,SlowService,Atlanta
Downtown,Middle  age,RudeService,Atlanta
Uptown,Youth,BadFood,Atlanta
Downtown,Youth,ScaryMcDs,Atlanta
Uptown,Youth,RudeService,Atlanta
Uptown,Youth,OrderProblem,Atlanta
Downtown,Youth,BadFood,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Uptown,Youth,BadFood,Atlanta
Uptown,Youth,RudeService,Atlanta
Uptown,Youth,BadFood,Atlanta
Downtown,Youth,Filthy,Atlanta
Downtown,Youth,BadFood,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,RudeService,Atlanta
Uptown,Youth,SlowService,Atlanta
Downtown,Middle  age,SlowService,Atlanta
Downtown,Middle  age,BadFood,Atlanta
Uptown,Middle  age,RudeService,Atlanta
Downtown,Youth,RudeService,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Downtown,Youth,BadFood,Atlanta
Downtown,Youth,Filthy,Atlanta
Uptown,Youth,RudeService,Atlanta
Uptown,Youth,OrderProblem,Atlanta
Uptown,Youth,BadFood,Atlanta
Uptown,Youth,MissingFood,Atlanta
Downtown,Youth,RudeService,Atlanta
Downtown,Youth,BadFood,Atlanta
Downtown,Youth,Filthy,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,BadFood,Atlanta
Uptown,Youth,SlowService,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,Cost,Atlanta
Uptown,Youth,SlowService,Atlanta
Uptown,Youth,OrderProblem,Atlanta
Uptown,Youth,Cost,Atlanta
Uptown,Youth,MissingFood,Atlanta
Uptown,Youth,BadFood,Atlanta
Uptown,Youth,RudeService,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Downtown,Youth,BadFood,Atlanta
Downtown,Youth,Filthy,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,ScaryMcDs,Atlanta
Downtown,Youth,RudeService,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Downtown,Youth,MissingFood,Atlanta
Downtown,Youth,Cost,Atlanta
Downtown,Youth,BadFood,Atlanta
Uptown,Youth,OrderProblem,Atlanta
Uptown,Youth,RudeService,Atlanta
Uptown,Youth,Filthy,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,RudeService,Atlanta
Uptown,Youth,OrderProblem,Atlanta
Uptown,Youth,SlowService,Atlanta
Uptown,Youth,BadFood,Atlanta
Downtown,Old age,OrderProblem,Atlanta
Uptown,Old age,OrderProblem,Atlanta
Downtown,Old age,OrderProblem,Atlanta
Downtown,Old age,SlowService,Atlanta
Downtown,Old age,RudeService,Atlanta
Downtown,Old age,Filthy,Atlanta
Downtown,Old age,RudeService,Atlanta
Uptown,Old age,Filthy,Atlanta
Uptown,Old age,Filthy,Atlanta
Uptown,Old age,OrderProblem,Atlanta
Uptown,Old age,BadFood,Atlanta
Downtown,Old age,OrderProblem,Atlanta
Uptown,Old age,BadFood,Atlanta
Downtown,Old age,SlowService,Atlanta
Downtown,Old age,SlowService,Atlanta
Downtown,Old age,RudeService,Atlanta
Downtown,Old age,SlowService,Atlanta
Downtown,Old age,RudeService,Atlanta
Downtown,Old age,ScaryMcDs,Atlanta
Uptown,Old age,RudeService,Atlanta
Uptown,Old age,BadFood,Atlanta
Downtown,Old age,OrderProblem,Atlanta
Downtown,Old age,SlowService,Atlanta
Uptown,Old age,Filthy,Atlanta
Uptown,Old age,RudeService,Atlanta
Downtown,Old age,RudeService,Atlanta
Downtown,Old age,OrderProblem,Atlanta
Downtown,Old age,SlowService,Atlanta
Uptown,Old age,SlowService,Atlanta
Uptown,Old age,BadFood,Atlanta
Uptown,Old age,OrderProblem,Atlanta
Downtown,Old age,RudeService,Atlanta
Downtown,Old age,BadFood,Atlanta
Downtown,Old age,RudeService,Atlanta
Downtown,Old age,SlowService,Atlanta
Uptown,Old age,OrderProblem,Atlanta
Uptown,Old age,SlowService,Atlanta
Downtown,Old age,Filthy,Atlanta
Downtown,Old age,SlowService,Atlanta
Uptown,Old age,SlowService,Atlanta
Uptown,Old age,SlowService,Atlanta
Uptown,Old age,OrderProblem,Atlanta
Uptown,Old age,RudeService,Atlanta
Downtown,Middle  age,OrderProblem,Atlanta
Uptown,Middle  age,BadFood,Atlanta
Uptown,Middle  age,RudeService,Atlanta
Downtown,Middle  age,RudeService,Atlanta
Downtown,Middle  age,Filthy,Atlanta
Uptown,Middle  age,RudeService,Atlanta
Uptown,Middle  age,BadFood,Atlanta
Downtown,Middle  age,BadFood,Atlanta
Uptown,Middle  age,RudeService,Atlanta
Uptown,Middle  age,Filthy,Atlanta
Uptown,Middle  age,SlowService,Atlanta
Uptown,Middle  age,OrderProblem,Atlanta
Downtown,Middle  age,SlowService,Atlanta
Downtown,Middle  age,OrderProblem,Atlanta
Uptown,Youth,RudeService,Atlanta
Uptown,Youth,ScaryMcDs,Atlanta
Downtown,Youth,RudeService,Atlanta
Downtown,Youth,ScaryMcDs,Atlanta
Uptown,Youth,SlowService,Atlanta
Downtown,Youth,Filthy,Atlanta
Downtown,Youth,RudeService,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Downtown,Youth,ScaryMcDs,Atlanta
Uptown,Youth,OrderProblem,Atlanta
Uptown,Youth,BadFood,Atlanta
Downtown,Youth,SlowService,Atlanta
Downtown,Youth,BadFood,Atlanta
Downtown,Youth,OrderProblem,Atlanta
Downtown,Youth,RudeService,Atlanta
Uptown,Youth,SlowService,Atlanta
Uptown,Youth,Filthy,Atlanta
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Middle  age,OrderProblem,Las Vegas
Uptown,Middle  age,BadFood,Las Vegas
Downtown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,OrderProblem,Las Vegas
Downtown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,SlowService,Las Vegas
Uptown,Middle  age,OrderProblem,Las Vegas
Downtown,Middle  age,BadFood,Las Vegas
Downtown,Middle  age,Cost,Las Vegas
Uptown,Middle  age,RudeService,Las Vegas
Uptown,Middle  age,OrderProblem,Las Vegas
Downtown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,OrderProblem,Las Vegas
Downtown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,OrderProblem,Las Vegas
Uptown,Middle  age,RudeService,Las Vegas
Uptown,Middle  age,SlowService,Las Vegas
Uptown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,SlowService,Las Vegas
Downtown,Middle  age,ScaryMcDs,Las Vegas
Downtown,Middle  age,BadFood,Las Vegas
Uptown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,OrderProblem,Las Vegas
Uptown,Middle  age,RudeService,Las Vegas
Uptown,Middle  age,BadFood,Las Vegas
Downtown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,SlowService,Las Vegas
Uptown,Middle  age,ScaryMcDs,Las Vegas
Downtown,Middle  age,SlowService,Las Vegas
Downtown,Middle  age,OrderProblem,Las Vegas
Downtown,Middle  age,RudeService,Las Vegas
Uptown,Middle  age,RudeService,Las Vegas
Uptown,Middle  age,SlowService,Las Vegas
Uptown,Middle  age,OrderProblem,Las Vegas
Downtown,Middle  age,SlowService,Las Vegas
Downtown,Middle  age,OrderProblem,Las Vegas
Downtown,Middle  age,BadFood,Las Vegas
Downtown,Middle  age,RudeService,Las Vegas
Downtown,Middle  age,BadFood,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Uptown,Youth,Cost,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Downtown,Youth,BadFood,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,MissingFood,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,MissingFood,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,Filthy,Las Vegas
Downtown,Youth,Cost,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,MissingFood,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,ScaryMcDs,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,BadFood,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Downtown,Youth,Filthy,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Downtown,Youth,Cost,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Downtown,Youth,BadFood,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,BadFood,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Youth,MissingFood,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Uptown,Youth,Cost,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Downtown,Youth,SlowService,Las Vegas
Downtown,Youth,OrderProblem,Las Vegas
Downtown,Youth,RudeService,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Uptown,Youth,RudeService,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Downtown,Youth,BadFood,Las Vegas
Downtown,Youth,Filthy,Las Vegas
Uptown,Youth,BadFood,Las Vegas
Uptown,Youth,SlowService,Las Vegas
Uptown,Youth,Cost,Las Vegas
Uptown,Youth,OrderProblem,Las Vegas
Downtown,Youth,BadFood,Las Vegas
Downtown,Youth,RudeService,Las Vegas
